feature,raw,normalized,category,abs_norm
open,0.00030415027467335334,0.00030415027467335334,other,0.00030415027467335334
scaled_rsi_14,4.399203755250433e-05,4.399203755250433e-05,other,4.399203755250433e-05
ma_200,-4.356563247670993e-05,-4.356563247670993e-05,ma,4.356563247670993e-05
scaled_lag_return_2d,-4.226729893855005e-05,-4.226729893855005e-05,other,4.226729893855005e-05
scaled_ma_200_slope,-4.153992625460807e-05,-4.153992625460807e-05,ma,4.153992625460807e-05
ma_10,-4.14648605751637e-05,-4.14648605751637e-05,ma,4.14648605751637e-05
scaled_poly_return_1d volatility_std_20d,-3.985907144769844e-05,-3.985907144769844e-05,other,3.985907144769844e-05
scaled_return_10d,-3.977373400332913e-05,-3.977373400332913e-05,other,3.977373400332913e-05
scaled_log_return_3d,3.7847712985172494e-05,3.7847712985172494e-05,other,3.7847712985172494e-05
momentum_10d,3.726244304281223e-05,3.726244304281223e-05,other,3.726244304281223e-05
return_1w,-3.328646493559161e-05,-3.328646493559161e-05,other,3.328646493559161e-05
scaled_return_2d,-3.322560424289595e-05,-3.322560424289595e-05,other,3.322560424289595e-05
scaled_volatility_std_20d,-3.1918420057082415e-05,-3.1918420057082415e-05,other,3.1918420057082415e-05
ma_50_slope,-3.0357110821667717e-05,-3.0357110821667717e-05,ma,3.0357110821667717e-05
log_return_2d,3.0338204378578463e-05,3.0338204378578463e-05,other,3.0338204378578463e-05
scaled_macd_hist,-3.0160889448443723e-05,-3.0160889448443723e-05,other,3.0160889448443723e-05
scaled_price_over_ma_20,2.8828427054791557e-05,2.8828427054791557e-05,ma,2.8828427054791557e-05
poly_ma_10 ma_20,-2.8443547676345646e-05,-2.8443547676345646e-05,ma,2.8443547676345646e-05
scaled_poly_macd rsi_14,-2.813074536546481e-05,-2.813074536546481e-05,other,2.813074536546481e-05
price_over_ma_200,2.79090593962255e-05,2.79090593962255e-05,ma,2.79090593962255e-05
ma_50,-2.7533647255861788e-05,-2.7533647255861788e-05,ma,2.7533647255861788e-05
scaled_log_return_10d,-2.7433119070463992e-05,-2.7433119070463992e-05,other,2.7433119070463992e-05
poly_ma_20 macd,-2.6265721194881006e-05,-2.6265721194881006e-05,ma,2.6265721194881006e-05
scaled_rolling_cum_return_20d,-2.5887969671785593e-05,-2.5887969671785593e-05,other,2.5887969671785593e-05
scaled_volume_ma_20,2.587336102918542e-05,2.587336102918542e-05,ma,2.587336102918542e-05
price_over_ma_5,2.5811564982422375e-05,2.5811564982422375e-05,ma,2.5811564982422375e-05
scaled_volatility_std_10d,-2.5601721185953053e-05,-2.5601721185953053e-05,other,2.5601721185953053e-05
poly_ma_10^2,2.5573064010527907e-05,2.5573064010527907e-05,ma,2.5573064010527907e-05
scaled_momentum_20d,-2.541186645436173e-05,-2.541186645436173e-05,other,2.541186645436173e-05
scaled_volume,2.520820629939939e-05,2.520820629939939e-05,other,2.520820629939939e-05
scaled_lag_return_1d,-2.5201474925133496e-05,-2.5201474925133496e-05,other,2.5201474925133496e-05
scaled_poly_volatility_std_20d volume_ma_10,2.5120685795211675e-05,2.5120685795211675e-05,ma,2.5120685795211675e-05
scaled_ma_20,-2.495403802119656e-05,-2.495403802119656e-05,ma,2.495403802119656e-05
log_return_5d,-2.4487906499272088e-05,-2.4487906499272088e-05,other,2.4487906499272088e-05
scaled_price_over_ma_100,-2.4406680681329542e-05,-2.4406680681329542e-05,ma,2.4406680681329542e-05
scaled_poly_volatility_std_20d^2,-2.436090071138278e-05,-2.436090071138278e-05,other,2.436090071138278e-05
scaled_log_return_5d,2.3738597026496643e-05,2.3738597026496643e-05,other,2.3738597026496643e-05
scaled_poly_rsi_14 volatility_std_20d,2.308579812545895e-05,2.308579812545895e-05,other,2.308579812545895e-05
log_return_10d,-2.2907145376349935e-05,-2.2907145376349935e-05,other,2.2907145376349935e-05
scaled_stoch_d,2.2832250459535128e-05,2.2832250459535128e-05,other,2.2832250459535128e-05
poly_volatility_std_20d^2,2.2655848642227786e-05,2.2655848642227786e-05,other,2.2655848642227786e-05
poly_ma_20 volatility_std_20d,2.264610321796157e-05,2.264610321796157e-05,ma,2.264610321796157e-05
scaled_price_over_ma_50,2.178542029309781e-05,2.178542029309781e-05,ma,2.178542029309781e-05
