feature,raw,normalized,category,abs_norm
scaled_volatility_std_10d,0.0026168096795077533,0.0026168096795077533,other,0.0026168096795077533
scaled_volume_over_ma_5,0.0025468064886828576,0.0025468064886828576,ma,0.0025468064886828576
scaled_price_over_ma_10,0.002518700798288901,0.002518700798288901,ma,0.002518700798288901
scaled_poly_return_5d volume_ma_10,0.0023918321379488893,0.0023918321379488893,ma,0.0023918321379488893
log_return_2d,-0.002313024045581675,-0.002313024045581675,other,0.002313024045581675
scaled_lag_return_1d,0.002307110830748788,0.002307110830748788,other,0.002307110830748788
poly_return_1d,0.002305852786189805,0.002305852786189805,other,0.002305852786189805
ma_100_slope,0.002286346016626052,0.002286346016626052,ma,0.002286346016626052
scaled_return_3d,0.0022613307645511756,0.0022613307645511756,other,0.0022613307645511756
scaled_volatility_std_50d,-0.002174764864269239,-0.002174764864269239,other,0.002174764864269239
scaled_poly_return_1d volume_ma_10,-0.002148686331340655,-0.002148686331340655,ma,0.002148686331340655
scaled_volume_over_ma_50,-0.002142795083842763,-0.002142795083842763,ma,0.002142795083842763
ma_5_slope,0.002141449687367665,0.002141449687367665,ma,0.002141449687367665
scaled_poly_ma_20 volume_ma_10,0.002135771661005809,0.002135771661005809,ma,0.002135771661005809
scaled_stoch_k,0.002085922900736437,0.002085922900736437,other,0.002085922900736437
poly_ma_10,-0.002083007928303934,-0.002083007928303934,ma,0.002083007928303934
price_over_ma_50,-0.0020276237415939122,-0.0020276237415939122,ma,0.0020276237415939122
scaled_poly_macd volatility_std_20d,0.0020200436532943934,0.0020200436532943934,other,0.0020200436532943934
lag_return_2d,-0.0020037546213419613,-0.0020037546213419613,other,0.0020037546213419613
macd_hist,0.0019606386087546008,0.0019606386087546008,other,0.0019606386087546008
poly_return_1d ma_10,0.0019488188547098306,0.0019488188547098306,ma,0.0019488188547098306
volatility_ratio_10_20,0.0019385186817422538,0.0019385186817422538,other,0.0019385186817422538
scaled_return_10d,0.0019338385756608924,0.0019338385756608924,other,0.0019338385756608924
price_over_ma_100,-0.0018974163945327544,-0.0018974163945327544,ma,0.0018974163945327544
scaled_poly_volatility_std_20d volume_ma_10,0.0018831008086890304,0.0018831008086890304,ma,0.0018831008086890304
scaled_price_over_ma_20,0.0018780810875732704,0.0018780810875732704,ma,0.0018780810875732704
stoch_d,0.0018438894582432249,0.0018438894582432249,other,0.0018438894582432249
