feature,raw,normalized,category,abs_norm
scaled_open,-0.023899834523651402,-0.023899834523651402,other,0.023899834523651402
ma_5_slope,0.019747202365529685,0.019747202365529685,ma,0.019747202365529685
scaled_price_over_ma_10,0.019043385979720797,0.019043385979720797,ma,0.019043385979720797
return_1w,0.01655844805001119,0.01655844805001119,other,0.01655844805001119
price_over_ma_5,-0.015536501279842662,-0.015536501279842662,ma,0.015536501279842662
scaled_price_over_ma_20,0.015397245961485144,0.015397245961485144,ma,0.015397245961485144
lag_return_10d,-0.015036245206213782,-0.015036245206213782,other,0.015036245206213782
scaled_volatility_std_50d,-0.01462645346196851,-0.01462645346196851,other,0.01462645346196851
scaled_poly_macd^2,-0.01394725907984063,-0.01394725907984063,other,0.01394725907984063
ma_10_slope,-0.013694073666481725,-0.013694073666481725,ma,0.013694073666481725
rolling_cum_return_20d,-0.013562563423604998,-0.013562563423604998,other,0.013562563423604998
scaled_price_over_ma_50,0.012934252035447808,0.012934252035447808,ma,0.012934252035447808
ma_10,0.012629951763398616,0.012629951763398616,ma,0.012629951763398616
scaled_poly_return_5d volatility_std_20d,-0.012275411159175523,-0.012275411159175523,other,0.012275411159175523
volatility_std_50d,0.012105656800944465,0.012105656800944465,other,0.012105656800944465
scaled_price_over_ma_200,0.011916169590855527,0.011916169590855527,ma,0.011916169590855527
scaled_ma_50_slope,0.011116037659983606,0.011116037659983606,ma,0.011116037659983606
poly_rsi_14 volatility_std_20d,-0.01072751884627344,-0.01072751884627344,other,0.01072751884627344
poly_ma_10,-0.010687767694198328,-0.010687767694198328,ma,0.010687767694198328
scaled_return_10d,0.01043492559493073,0.01043492559493073,other,0.01043492559493073
scaled_poly_volatility_std_20d^2,-0.010229748211586997,-0.010229748211586997,other,0.010229748211586997
ma_20_slope,0.00937736772347563,0.00937736772347563,ma,0.00937736772347563
volume_over_ma_20,0.00915188721090823,0.00915188721090823,ma,0.00915188721090823
atr_14,0.009110073891828371,0.009110073891828371,other,0.009110073891828371
momentum_5d,-0.008939741626563913,-0.008939741626563913,other,0.008939741626563913
poly_return_1d^2,0.00805789117660636,0.00805789117660636,other,0.00805789117660636
volatility_ratio_10_20,0.007724379332357752,0.007724379332357752,other,0.007724379332357752
ma_100_slope,0.007646998682615828,0.007646998682615828,ma,0.007646998682615828
scaled_lag_return_10d,-0.007639263476499718,-0.007639263476499718,other,0.007639263476499718
scaled_volatility_ratio_20_50,-0.0075362658241445715,-0.0075362658241445715,other,0.0075362658241445715
scaled_rolling_cum_return_20d,0.00748150496372638,0.00748150496372638,other,0.00748150496372638
price_over_ma_20,0.007309471935686596,0.007309471935686596,ma,0.007309471935686596
poly_return_5d rsi_14,0.006703225715027699,0.006703225715027699,other,0.006703225715027699
scaled_poly_return_1d volatility_std_20d,0.00667365657525715,0.00667365657525715,other,0.00667365657525715
lag_return_1d,0.006530538465244939,0.006530538465244939,other,0.006530538465244939
poly_return_5d ma_20,0.006434742132651709,0.006434742132651709,ma,0.006434742132651709
scaled_macd_signal,-0.006373213073520309,-0.006373213073520309,other,0.006373213073520309
scaled_poly_ma_20 volume_ma_10,0.00636089593904697,0.00636089593904697,ma,0.00636089593904697
volume_over_ma_50,-0.006328358368981917,-0.006328358368981917,ma,0.006328358368981917
scaled_poly_return_5d volume_ma_10,0.00599593849736153,0.00599593849736153,ma,0.00599593849736153
poly_return_1d,-0.005932560991764107,-0.005932560991764107,other,0.005932560991764107
scaled_obv,0.005861278593388223,0.005861278593388223,other,0.005861278593388223
scaled_return_2d,-0.005825149652752063,-0.005825149652752063,other,0.005825149652752063
scaled_poly_return_1d volume_ma_10,-0.0057794447950402705,-0.0057794447950402705,ma,0.0057794447950402705
return_1d,0.005726076433512412,0.005726076433512412,other,0.005726076433512412
volatility_std_20d,-0.005702425557429471,-0.005702425557429471,other,0.005702425557429471
scaled_price_over_ma_100,-0.005579355423774493,-0.005579355423774493,ma,0.005579355423774493
volatility_std_10d,0.005478534795478034,0.005478534795478034,other,0.005478534795478034
scaled_poly_return_5d rsi_14,-0.005379427344771379,-0.005379427344771379,other,0.005379427344771379
lag_return_2d,0.005332248494995831,0.005332248494995831,other,0.005332248494995831
scaled_poly_return_1d rsi_14,-0.005215564825043838,-0.005215564825043838,other,0.005215564825043838
scaled_poly_macd rsi_14,-0.005133199670058152,-0.005133199670058152,other,0.005133199670058152
return_3d,0.004836647170908817,0.004836647170908817,other,0.004836647170908817
poly_rsi_14,-0.0048045579885880405,-0.0048045579885880405,other,0.0048045579885880405
scaled_poly_rsi_14 volatility_std_20d,0.004658052975883259,0.004658052975883259,other,0.004658052975883259
scaled_poly_macd volume_ma_10,0.0046472716991510085,0.0046472716991510085,ma,0.0046472716991510085
scaled_stoch_d,0.004639991757029899,0.004639991757029899,other,0.004639991757029899
scaled_ma_200,0.004609600185871664,0.004609600185871664,ma,0.004609600185871664
ma_200_slope,0.004521740731725352,0.004521740731725352,ma,0.004521740731725352
scaled_poly_return_1d^2,-0.004479258817592301,-0.004479258817592301,other,0.004479258817592301
poly_return_5d volatility_std_20d,0.004439243126925099,0.004439243126925099,other,0.004439243126925099
scaled_price_over_ma_5,-0.00442556389424832,-0.00442556389424832,ma,0.00442556389424832
scaled_poly_macd volatility_std_20d,0.0043778935833765215,0.0043778935833765215,other,0.0043778935833765215
rolling_cum_return_5d,-0.004371397212849889,-0.004371397212849889,other,0.004371397212849889
scaled_ma_100_slope,-0.004325726045312834,-0.004325726045312834,ma,0.004325726045312834
