date,actual,prediction,residual
2021-12-27,-0.011811705546412754,-0.03304385109392739,-0.02123214554751464
2021-12-28,-0.009593318234828119,-0.03441889482279361,-0.02482557658796549
2021-12-29,0.014661553977220576,-0.03451876252547662,-0.0491803165026972
2021-12-30,0.008417508561662235,-0.037676370245246324,-0.04609387880690856
2021-12-31,-0.01492374300821464,-0.0341890866877451,-0.019265343679530457
2022-01-03,-0.05499694966728863,-0.03621175554841315,0.018785194118875477
2022-01-04,-0.04190316587187082,-0.031177926708286563,0.010725239163584255
2022-01-05,-0.015607110428290327,-0.02443723456485106,-0.008830124136560733
2022-01-06,0.017906987389852747,-0.022583797072877,-0.040490784462729745
2022-01-07,0.019515598804005885,-0.019908037515762037,-0.03942363631976792
2022-01-10,0.0,-0.020815908188771593,-0.020815908188771593
2022-01-11,-0.011480434577419651,-0.020649660483002628,-0.009169225905582976
2022-01-12,-0.03264396836659067,-0.02036848658120445,0.01227548178538622
2022-01-13,-0.034612966080276864,-0.016543997738704887,0.018068968341571977
2022-01-14,-0.04945982813386618,-0.017067074452765934,0.03239275368110024
2022-01-18,-0.043521785964843906,-0.018889810009740545,0.02463197595510336
2022-01-19,-0.027732663952585446,-0.01874776987088915,0.008984894081696296
2022-01-20,-0.028752026536251085,-0.01648700147425283,0.012265025061998256
2022-01-21,-0.016747744346844784,-0.0118561407755752,0.004891603571269583
2022-01-24,-0.014849610004901814,-0.005716833144897337,0.009132776860004476
2022-01-25,0.06602830850143171,-0.0013577069192538375,-0.06738601542068555
2022-01-26,0.09449556081901545,-0.0004856876823879912,-0.09498124850140344
2022-01-27,0.09665870664273868,-0.0022995059142755566,-0.09895821255701423
2022-01-28,0.03234893704927644,-0.019991423378495517,-0.05234036042777196
2022-01-31,-0.01075640746048101,-0.027537758373305403,-0.016781350912824393
2022-02-01,-0.012714055397417545,-0.0248812245825012,-0.012167169185083655
2022-02-02,-0.023771569397380232,-0.023380737469617913,0.00039083192776231956
2022-02-03,0.011162567973980408,-0.01987997251013025,-0.031042540484110658
2022-02-04,0.0225651105250948,-0.015152060966455575,-0.03771717149155038
2022-02-07,0.002679665881771598,-0.008572594598358945,-0.011252260480130543
2022-02-08,-0.0354058363929316,-0.0048226350513409615,0.03058320134159064
2022-02-09,-0.04197863596396545,0.004096825746554408,0.046075461710519856
2022-02-10,0.003892622518895328,0.016576312488221445,0.012683689969326117
2022-02-11,0.02318550567042621,0.02133591696258435,-0.0018495887078418607
2022-02-14,0.0,0.018986336322790547,0.018986336322790547
2022-02-15,-0.031772616746872706,0.016044775765138762,0.04781739251201147
2022-02-16,-0.04769629430299349,0.011466086768370907,0.0591623810713644
2022-02-17,-0.052167203362571524,0.01458378323184549,0.06675098659441701
2022-02-18,-0.02725641049261085,0.015018089953375105,0.042274500445985956
2022-02-22,0.003225406254097507,0.013145565391260333,0.009920159137162826
2022-02-23,0.03154861974073686,0.012181115134081676,-0.019367504606655185
2022-02-24,0.002826541966028495,-0.0022607977166634857,-0.005087339682691981
2022-02-25,0.010373014205436792,-0.006069900426991595,-0.016442914632428387
2022-02-28,0.006722387616131975,-0.0066864759155498025,-0.013408863531681778
2022-03-01,-0.00018381605305051174,-0.0012441109864669388,-0.001060294933416427
2022-03-02,-0.04358786391241365,-0.006131669630126354,0.037456194282287296
2022-03-03,-0.052878502749528655,-0.008763857528049222,0.04411464522147943
2022-03-04,-0.0013482945588767503,-0.009463866872871103,-0.008115572313994353
2022-03-07,-0.004896414088852552,-0.005119122789651035,-0.0002227087007984829
2022-03-08,-0.017212948881119017,0.0011760306499103612,0.018388979531029376
2022-03-09,-0.07566739528673372,0.0014706596836189592,0.07713805497035267
2022-03-10,-0.021637697717159288,0.007475611128794761,0.029113308845954047
2022-03-11,0.031409556934968386,0.011090843820861254,-0.020318713114107132
2022-03-14,0.06639224753804873,0.01172748694462207,-0.05466476059342666
2022-03-15,0.057321552644053364,0.007091757003741846,-0.05022979564031152
2022-03-16,0.036280523076540616,0.0044962296148334455,-0.03178429346170717
2022-03-17,0.05105225038170724,0.00306218325312766,-0.04799006712857958
2022-03-18,0.037992506090069655,-0.0012138568901005934,-0.03920636298017025
2022-03-21,0.05254566564781493,-0.0020666837347927272,-0.05461234938260766
2022-03-22,0.034948428151371,-0.0017826567340589394,-0.03673108488542994
2022-03-23,0.0316667597499678,-0.00699817555325011,-0.03866493530321791
2022-03-24,0.028092142149109156,-0.009432869914143015,-0.03752501206325217
2022-03-25,0.017456519176102248,-0.006151185044457969,-0.023607704220560216
2022-03-28,-0.005637844298140071,0.0010558629262158994,0.0066937072243559706
2022-03-29,-0.025983510174472535,0.006841198239082566,0.0328247084135551
2022-03-30,0.003768904499312775,0.01156293568915284,0.007794031189840065
2022-03-31,0.002577154496702372,0.01701887680230475,0.014441722305602377
2022-04-01,-0.01422750136121953,0.01891663351152568,0.033144134872745215
2022-04-04,-0.03530600182448729,0.019181671576366376,0.05448767340085366
2022-04-05,-0.02839027356343715,0.019673828874638487,0.04806410243807564
2022-04-06,-0.03538381985837735,0.020035283099770162,0.05541910295814752
2022-04-07,-0.026025303493805274,0.016161150008136466,0.04218645350194174
2022-04-08,0.0018225502102893198,0.012063395783845052,0.010240845573555733
2022-04-11,-0.002775304457720562,0.007724966645779602,0.010500271103500165
2022-04-12,-0.0154479081553065,-0.0006554950755271462,0.014792413079779354
2022-04-13,-0.017605634433428774,-0.007372003602811848,0.010233630830616926
2022-04-14,0.011736962430919373,-0.0063174035531835026,-0.018054365984102875
