feature,raw,normalized,category,abs_norm
scaled_price_over_ma_20,0.013266251663494166,0.013266251663494166,ma,0.013266251663494166
scaled_price_over_ma_10,0.011336739544184309,0.011336739544184309,ma,0.011336739544184309
return_1w,0.011322825794524077,0.011322825794524077,other,0.011322825794524077
return_10d,0.010995442616452316,0.010995442616452316,other,0.010995442616452316
scaled_poly_return_1d volatility_std_20d,0.010058492762080207,0.010058492762080207,other,0.010058492762080207
scaled_poly_volatility_std_20d^2,-0.00958392659467681,-0.00958392659467681,other,0.00958392659467681
scaled_volume_over_ma_10,-0.009575879678777108,-0.009575879678777108,ma,0.009575879678777108
scaled_price_over_ma_50,0.009233158530776614,0.009233158530776614,ma,0.009233158530776614
scaled_poly_return_5d volatility_std_20d,-0.008863689825394549,-0.008863689825394549,other,0.008863689825394549
scaled_return_10d,0.008762305751243081,0.008762305751243081,other,0.008762305751243081
scaled_price_over_ma_200,0.008580131577295081,0.008580131577295081,ma,0.008580131577295081
volume_over_ma_5,0.008549058136193307,0.008549058136193307,ma,0.008549058136193307
ma_5_slope,0.008431801240479906,0.008431801240479906,ma,0.008431801240479906
poly_return_1d^2,0.008337535798336652,0.008337535798336652,other,0.008337535798336652
scaled_rolling_cum_return_20d,0.00782356981067792,0.00782356981067792,other,0.00782356981067792
scaled_stoch_d,0.007463136279586588,0.007463136279586588,other,0.007463136279586588
poly_return_5d,-0.007272812703335947,-0.007272812703335947,other,0.007272812703335947
scaled_poly_return_1d volume_ma_10,-0.007235608588269972,-0.007235608588269972,ma,0.007235608588269972
volatility_std_50d,0.007192026356584966,0.007192026356584966,other,0.007192026356584966
price_over_ma_10,0.006999397465955492,0.006999397465955492,ma,0.006999397465955492
scaled_macd_signal,-0.0067116819286017985,-0.0067116819286017985,other,0.0067116819286017985
log_return_10d,-0.006603920958253786,-0.006603920958253786,other,0.006603920958253786
scaled_poly_macd volume_ma_10,0.006569911693993612,0.006569911693993612,ma,0.006569911693993612
scaled_poly_macd^2,-0.006508132051402241,-0.006508132051402241,other,0.006508132051402241
scaled_price_over_ma_100,-0.006471797619964169,-0.006471797619964169,ma,0.006471797619964169
scaled_volume_over_ma_50,0.0061462582921733835,0.0061462582921733835,ma,0.0061462582921733835
atr_14,0.006060029321048031,0.006060029321048031,other,0.006060029321048031
scaled_return_1d,0.005848493321005837,0.005848493321005837,other,0.005848493321005837
scaled_ma_100_slope,-0.005746802417598938,-0.005746802417598938,ma,0.005746802417598938
scaled_volume_ma_5,-0.005690958448009251,-0.005690958448009251,ma,0.005690958448009251
lag_return_10d,-0.005539897930995,-0.005539897930995,other,0.005539897930995
scaled_return_2d,-0.005469242794167479,-0.005469242794167479,other,0.005469242794167479
scaled_poly_return_5d rsi_14,-0.005431401634346204,-0.005431401634346204,other,0.005431401634346204
momentum_5d,-0.005222409627674646,-0.005222409627674646,other,0.005222409627674646
scaled_ma_50_slope,0.005071933579427287,0.005071933579427287,ma,0.005071933579427287
scaled_volatility_std_50d,-0.0050281822601661455,-0.0050281822601661455,other,0.0050281822601661455
scaled_ma_100,-0.004982048761436944,-0.004982048761436944,ma,0.004982048761436944
scaled_rsi_14,-0.004961762995858093,-0.004961762995858093,other,0.004961762995858093
scaled_obv,0.004949025244814866,0.004949025244814866,other,0.004949025244814866
price_over_ma_5,-0.00480445574778854,-0.00480445574778854,ma,0.00480445574778854
poly_ma_10,-0.0046993000854528965,-0.0046993000854528965,ma,0.0046993000854528965
volatility_std_10d,0.004676940690985826,0.004676940690985826,other,0.004676940690985826
scaled_poly_macd rsi_14,-0.004649580290325847,-0.004649580290325847,other,0.004649580290325847
poly_rsi_14 volatility_std_20d,-0.0046099030578513256,-0.0046099030578513256,other,0.0046099030578513256
poly_return_5d rsi_14,0.004547428274593196,0.004547428274593196,other,0.004547428274593196
lag_return_3d,-0.004497518717368535,-0.004497518717368535,other,0.004497518717368535
poly_macd,-0.004400266852650761,-0.004400266852650761,other,0.004400266852650761
scaled_poly_return_1d^2,-0.00405774706298366,-0.00405774706298366,other,0.00405774706298366
price_over_ma_50,-0.0039624770163627235,-0.0039624770163627235,ma,0.0039624770163627235
poly_return_5d ma_10,0.0038873270999477557,0.0038873270999477557,ma,0.0038873270999477557
volatility_ratio_10_20,0.003775798039478818,0.003775798039478818,other,0.003775798039478818
poly_volatility_std_20d,0.0037657541761293716,0.0037657541761293716,other,0.0037657541761293716
poly_volume_ma_10,-0.0037355528250150026,-0.0037355528250150026,ma,0.0037355528250150026
volume_ma_10,0.003735546997392902,0.003735546997392902,ma,0.003735546997392902
log_return_5d,0.0037064646006040717,0.0037064646006040717,other,0.0037064646006040717
scaled_ma_50,0.0037053359070187857,0.0037053359070187857,ma,0.0037053359070187857
ma_20_slope,0.003679379785961506,0.003679379785961506,ma,0.003679379785961506
stoch_d,0.003549255149985572,0.003549255149985572,other,0.003549255149985572
price_over_ma_20,0.00351609778142191,0.00351609778142191,ma,0.00351609778142191
volatility_ratio_20_50,-0.003453834781823638,-0.003453834781823638,other,0.003453834781823638
scaled_volume,-0.003315824942168178,-0.003315824942168178,other,0.003315824942168178
scaled_poly_ma_10 volume_ma_10,0.0032530674103541436,0.0032530674103541436,ma,0.0032530674103541436
volume_over_ma_50,-0.003151051204377789,-0.003151051204377789,ma,0.003151051204377789
ma_10_slope,-0.0031508378529747118,-0.0031508378529747118,ma,0.0031508378529747118
return_3d,0.003130611702133337,0.003130611702133337,other,0.003130611702133337
log_return_3d,0.0031290140629225715,0.0031290140629225715,other,0.0031290140629225715
volume_over_ma_10,-0.003096884945483274,-0.003096884945483274,ma,0.003096884945483274
rolling_cum_return_5d,0.0029686801220610076,0.0029686801220610076,other,0.0029686801220610076
ma_100_slope,0.002893146013875774,0.002893146013875774,ma,0.002893146013875774
scaled_poly_ma_10 volatility_std_20d,-0.0028508118060312955,-0.0028508118060312955,ma,0.0028508118060312955
volatility_std_20d,-0.002839645343095104,-0.002839645343095104,other,0.002839645343095104
scaled_lag_return_3d,-0.002831587792197532,-0.002831587792197532,other,0.002831587792197532
scaled_volatility_std_20d,0.0028289987340716005,0.0028289987340716005,other,0.0028289987340716005
close,-0.0028260409453300063,-0.0028260409453300063,other,0.0028260409453300063
scaled_poly_ma_20 volume_ma_10,0.0028195160766853883,0.0028195160766853883,ma,0.0028195160766853883
poly_return_1d macd,-0.0027932487233585396,-0.0027932487233585396,other,0.0027932487233585396
scaled_volume_over_ma_20,0.0027847408045751955,0.0027847408045751955,ma,0.0027847408045751955
poly_return_1d return_5d,-0.0027792179708442583,-0.0027792179708442583,other,0.0027792179708442583
scaled_lag_return_10d,-0.002723238262514557,-0.002723238262514557,other,0.002723238262514557
scaled_lag_return_5d,-0.002718884647544088,-0.002718884647544088,other,0.002718884647544088
poly_ma_20,0.002709889927364046,0.002709889927364046,ma,0.002709889927364046
scaled_ma_200_slope,-0.00266248371558232,-0.00266248371558232,ma,0.00266248371558232
scaled_poly_rsi_14 volume_ma_10,0.0026199500825834837,0.0026199500825834837,ma,0.0026199500825834837
poly_return_1d,-0.002592095993310821,-0.002592095993310821,other,0.002592095993310821
ma_10,0.00258288655079532,0.00258288655079532,ma,0.00258288655079532
scaled_poly_ma_10,-0.0025405456965190204,-0.0025405456965190204,ma,0.0025405456965190204
rolling_cum_return_20d,-0.00251778389601805,-0.00251778389601805,other,0.00251778389601805
scaled_poly_return_1d return_5d,0.0024903719066106914,0.0024903719066106914,other,0.0024903719066106914
poly_volatility_std_20d^2,0.002481534655149334,0.002481534655149334,other,0.002481534655149334
log_return_1d,0.0024654477202677664,0.0024654477202677664,other,0.0024654477202677664
scaled_ma_200,-0.0024101271541798175,-0.0024101271541798175,ma,0.0024101271541798175
ma_200_slope,0.0024074912752372335,0.0024074912752372335,ma,0.0024074912752372335
scaled_poly_macd volatility_std_20d,0.0023610284382106442,0.0023610284382106442,other,0.0023610284382106442
poly_ma_10 volatility_std_20d,-0.002342217861877782,-0.002342217861877782,ma,0.002342217861877782
poly_return_1d volatility_std_20d,0.0023160916269728935,0.0023160916269728935,other,0.0023160916269728935
return_2d,-0.0022265563494155427,-0.0022265563494155427,other,0.0022265563494155427
scaled_return_3d,-0.002116580262300731,-0.002116580262300731,other,0.002116580262300731
volume_over_ma_20,0.002096622051503979,0.002096622051503979,ma,0.002096622051503979
rsi_14,-0.0020630187660746965,-0.0020630187660746965,other,0.0020630187660746965
scaled_macd_hist,-0.002015839490800684,-0.002015839490800684,other,0.002015839490800684
scaled_volume_over_ma_5,0.0019754702929126065,0.0019754702929126065,ma,0.0019754702929126065
price_over_ma_200,0.0018670020392182866,0.0018670020392182866,ma,0.0018670020392182866
