feature,raw,normalized,category,abs_norm
open,0.00026471303403143573,0.00026471303403143573,other,0.00026471303403143573
ma_10,-7.399165531681088e-05,-7.399165531681088e-05,ma,7.399165531681088e-05
scaled_ma_200_slope,-6.610126156452062e-05,-6.610126156452062e-05,ma,6.610126156452062e-05
ma_20,-6.20586102828409e-05,-6.20586102828409e-05,ma,6.20586102828409e-05
scaled_poly_volatility_std_20d,-6.044797378316881e-05,-6.044797378316881e-05,other,6.044797378316881e-05
scaled_return_1w,5.9087079847040436e-05,5.9087079847040436e-05,other,5.9087079847040436e-05
scaled_rsi_14,5.8482941385129944e-05,5.8482941385129944e-05,other,5.8482941385129944e-05
scaled_log_return_5d,5.581346805670223e-05,5.581346805670223e-05,other,5.581346805670223e-05
scaled_poly_return_1d volatility_std_20d,-5.5596552277828485e-05,-5.5596552277828485e-05,other,5.5596552277828485e-05
poly_ma_10 ma_20,-5.345824755914879e-05,-5.345824755914879e-05,ma,5.345824755914879e-05
scaled_lag_return_3d,5.3310561177072736e-05,5.3310561177072736e-05,other,5.3310561177072736e-05
scaled_volatility_std_10d,-5.293594175912939e-05,-5.293594175912939e-05,other,5.293594175912939e-05
ma_200,-5.231348779718734e-05,-5.231348779718734e-05,ma,5.231348779718734e-05
scaled_poly_return_5d,5.217524383468496e-05,5.217524383468496e-05,other,5.217524383468496e-05
scaled_poly_volatility_std_20d^2,-5.0546287686093806e-05,-5.0546287686093806e-05,other,5.0546287686093806e-05
scaled_rolling_cum_return_20d,-5.038119337341887e-05,-5.038119337341887e-05,other,5.038119337341887e-05
scaled_return_10d,-4.863500899664374e-05,-4.863500899664374e-05,other,4.863500899664374e-05
poly_ma_20 macd,-4.8618283448395886e-05,-4.8618283448395886e-05,ma,4.8618283448395886e-05
scaled_volatility_std_20d,-4.7376148655356615e-05,-4.7376148655356615e-05,other,4.7376148655356615e-05
poly_ma_10^2,4.707461286269108e-05,4.707461286269108e-05,ma,4.707461286269108e-05
momentum_10d,4.6354029714956594e-05,4.6354029714956594e-05,other,4.6354029714956594e-05
poly_return_1d rsi_14,-4.6287082981504994e-05,-4.6287082981504994e-05,other,4.6287082981504994e-05
scaled_price_over_ma_100,-4.628234767260687e-05,-4.628234767260687e-05,ma,4.628234767260687e-05
