feature,mean_shift
poly_volume_ma_10^2,429236249817472.5
obv,999034818.5185186
poly_ma_20 volume_ma_10,777917999.189661
poly_ma_10 volume_ma_10,743170036.47369
poly_macd volume_ma_10,52826115.396628685
poly_rsi_14 volume_ma_10,47594326.60728645
volume_ma_50,4486312.534979425
volume_ma_20,3419334.012345679
volume,3377337.860082306
volume_ma_10,3275899.3415637836
poly_volume_ma_10,3275899.3415637836
volume_ma_5,3198104.52674897
poly_volatility_std_20d volume_ma_10,245162.59674886416
poly_return_5d volume_ma_10,17752.84388540528
poly_return_1d volume_ma_10,17274.917717018878
poly_ma_10^2,10998.371317154255
poly_ma_10 ma_20,10917.297090256368
poly_ma_20^2,10849.473894753988
poly_ma_10 rsi_14,2250.825294919485
poly_ma_20 rsi_14,2218.251214924245
poly_rsi_14^2,431.2470892663978
ma_200,34.562675335417055
ma_100,30.361438984812054
ma_50,26.759892866974468
high,26.5391772862815
close,25.826008172682776
ma_5,25.787547157821308
ma_10,25.72847310132937
poly_ma_10,25.72847310132937
open,25.68769535017603
ma_20,25.57223236335159
poly_ma_20,25.57223236335159
low,25.090822259094494
poly_ma_20 macd,12.70701340207907
poly_macd^2,7.409866794038663
poly_ma_10 macd,4.470834476392724
poly_rsi_14,3.781431939840054
rsi_14,3.781431939840054
poly_macd rsi_14,3.4927537865916065
atr_14,1.483216233564642
poly_ma_20 volatility_std_20d,1.2615676628125407
scaled_ma_200,1.2566487180101786
poly_ma_10 volatility_std_20d,1.24452371348637
scaled_obv,1.2390301630053082
scaled_ma_100,1.0463263917705676
scaled_atr_14,0.9784654478923256
scaled_poly_ma_10 volatility_std_20d,0.8883818102608936
scaled_ma_50,0.8633904968201005
scaled_volatility_std_50d,0.8185833577920076
scaled_poly_ma_10^2,0.8140676602533551
scaled_open,0.7523184664866305
scaled_poly_ma_10,0.6771013642625194
scaled_poly_volatility_std_20d^2,0.6247758505911196
scaled_volatility_std_20d,0.5990238330781092
scaled_poly_ma_10 rsi_14,0.5237332330069701
scaled_poly_rsi_14 volatility_std_20d,0.4947263911299469
scaled_poly_macd^2,0.48172795298236265
scaled_ma_100_slope,0.4457738156944136
scaled_volatility_std_10d,0.4420044740711147
scaled_price_over_ma_200,0.4400563329085463
macd_signal,0.4257195227777236
scaled_poly_return_5d^2,0.3966085434960228
scaled_poly_macd volatility_std_20d,0.39334246563331404
momentum_20d,0.33333333333333304
scaled_poly_volatility_std_20d volume_ma_10,0.30299064305858636
scaled_volume_ma_50,0.28686830065729624
poly_macd,0.2727762812826533
macd,0.2727762812826533
momentum_10d,0.25876551498601463
scaled_price_over_ma_100,0.2560456485706488
scaled_poly_ma_10 volume_ma_10,0.2520584129104688
scaled_poly_ma_20 volume_ma_10,0.24361322302756439
scaled_poly_return_1d^2,0.2230847776819827
poly_return_5d ma_20,0.22240452808228295
poly_rsi_14 volatility_std_20d,0.22194385877877676
poly_return_5d ma_10,0.21627789760348703
scaled_stoch_d,0.21527412753185293
scaled_poly_macd volume_ma_10,0.20957868102631394
scaled_rsi_14,0.2084505010954366
scaled_ma_200_slope,0.20751412286295828
scaled_volume_ma_20,0.19663690732476108
scaled_stoch_k,0.19430861342272
scaled_ma_50_slope,0.18417673336172558
scaled_volume_ma_10,0.17294248059995554
scaled_poly_return_1d return_5d,0.16173029656929394
macd_hist,0.15294324149507055
scaled_volume_ma_5,0.1508606161333742
scaled_macd_hist,0.1445553569892249
scaled_volatility_ratio_10_20,0.13846826455330974
scaled_macd_signal,0.13386279162823592
ma_100_slope,0.13250617258833258
scaled_volume,0.12186414326022721
poly_return_5d rsi_14,0.11609267086656905
scaled_poly_return_5d macd,0.11603917406384018
momentum_5d,0.11156391410670652
scaled_price_over_ma_50,0.1093629375992767
scaled_volatility_ratio_20_50,0.09386846162449668
scaled_macd,0.08004728310179249
ma_50_slope,0.07912921167695486
stoch_d,0.06400525253171818
scaled_volume_over_ma_50,0.06311269057288306
stoch_k,0.062008459216341016
scaled_poly_return_5d rsi_14,0.056528870419980705
price_over_ma_200,0.04822624709827039
ma_200_slope,0.03568394821857729
scaled_poly_rsi_14 volume_ma_10,0.03416240128787024
volatility_ratio_10_20,0.0307511428394589
poly_macd volatility_std_20d,0.02936452017831117
scaled_poly_return_1d rsi_14,0.028454760018128324
ma_10_slope,0.025876551498601463
poly_return_1d rsi_14,0.02581727855687925
price_over_ma_100,0.02537278123232012
scaled_poly_return_1d macd,0.02388025889130172
volume_over_ma_50,0.023750322474899055
ma_5_slope,0.022312782821341165
poly_return_5d macd,0.02030492119384556
scaled_volume_over_ma_5,0.01886530216701055
volatility_ratio_20_50,0.018534805625531003
scaled_poly_macd rsi_14,0.017876253225871858
poly_return_1d ma_20,0.017799103610800032
ma_20_slope,0.01666666666666658
scaled_lag_return_10d,0.01607623146747151
scaled_poly_return_5d volatility_std_20d,0.015833870049463968
scaled_lag_return_5d,0.012894279596411824
