horizon,rmse,mae,mape,r2,bias
target_1d,0.027427862248743527,0.017960570333398977,97943698552.48367,-1.284464657358761,0.008297358691220648
target_2d,0.03234189626126118,0.024744932634730224,3.284837798740011,-0.5689485535440553,-0.012244457378379895
target_3d,0.03742882306464755,0.02765698069181682,223403789293.80704,-0.3987953545670764,-0.00478489921359903
target_5d,0.04870115336792282,0.03670683711192529,3.8206752275643523,-0.4723268026033589,0.010397037838431092
target_1w,0.04870115336792282,0.03670683711192529,3.8206752275643523,-0.4723268026033589,0.010397037838431092
