feature,mean_shift
return_3d,0.00762874879185246
poly_volatility_std_20d,0.007175919726994702
lag_return_3d,0.006907382200461029
volume_over_ma_5,0.0064196397855357246
scaled_poly_return_1d macd,0.0064168171398455345
log_return_2d,0.005573364594982324
return_2d,0.0052578912318306924
price_over_ma_5,0.005100470698278792
lag_return_2d,0.004997649214821078
log_return_1d,0.002894751151129229
return_1d,0.0027307028676021444
poly_return_1d,0.0027263309126705944
lag_return_1d,0.00256189895421302
poly_return_5d^2,0.0010283276687338232
poly_return_1d macd,0.0005330844876104768
poly_return_1d^2,0.0003265561530764587
poly_volatility_std_20d^2,0.0002960261921897935
poly_return_1d return_5d,0.00024769934653738905
poly_return_5d volatility_std_20d,0.00015264430741561457
poly_return_1d volatility_std_20d,4.2411800768503966e-05
